STT,Loại câu hỏi,Câu hỏi,Câu trả lời,Căn cứ
9,Đăng ký học tập,"Làm sao để đăng ký học lại, học cải thiện","Điều 14. Đăng ký học tập
2. Học lại: Sinh viên phải đăng ký học lại các học phần bắt buộc có điểm học phần dưới 5,0
ở các học kỳ trước. Đối với các học phần tự chọn, nếu điểm dưới 5,0 sinh viên được
phép đăng ký học lại học phần đó hoặc chọn học phần khác thay thế trong số các học
phần tự chọn quy định cho mỗi ngành đào tạo.
Khi nộp hồ sơ xét tốt nghiệp, sinh viên có thể làm đơn xin hủy học phần tự chọn đã học
(sinh viên không được hủy kết quả học tập trong lúc đang học).
3. Học cải thiện điểm
Đối với học phần có kết quả đạt, sinh viên muốn phấn đấu đạt kết quả cao hơn (cải
thiện điểm) phải đăng ký học lại học phần đó theo quy định sau:
- Kết quả cao nhất trong các lần học được chọn để tính vào ĐTBC, ĐTBCTL. Điểm
của tất cả các lần học được lưu đầy đủ trong kết quả học tập của sinh viên.
- Tổng số tín chỉ đăng ký học cải thiện ở học kỳ nào thì được tính vào tổng số tín chỉ
đăng ký học ở học kỳ đó theo quy định tại Khoản 1 Điều 14 của Quy chế này.
4. Việc đăng ký học phần cải thiện được thực hiện theo quy trình đăng ký học phần của
Trường.","Khoản 2,3,4, Điều 14, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
10,Đăng ký học tập,Các quy định về đăng ký học phần ngoại ngữ,"Điều 14. Đăng ký học tập
5. Đăng ký học các môn ngoại ngữ:
- Các lớp học ngoại ngữ nằm trong chương trình đào tạo cho sinh viên chính quy được
mở với thời khóa biểu riêng, linh động theo nhu cầu của sinh viên. Sinh viên được tự
do đăng ký học các lớp ngoại ngữ theo điều kiện môn tiên quyết và không trùng giờ
học với các môn học chính khóa mà sinh viên đang học trên hệ thống của Trường.
- Trong học kỳ hè sinh viên có thể đăng ký học mới, học lại hoặc học cải thiện các
môn ngoại ngữ.
- Học phí các môn ngoại ngữ trong chương trình đào tạo được tính theo quy định: học
lần đầu được tính trọn gói trong học phí học kỳ, học lần thứ hai trở đi được coi là học
lại/cải thiện.
- Thời điểm thi kết thúc môn học thuộc học kỳ nào thì Trường tính điểm cho sinh viên
vào học kỳ đó. Riêng các lớp có thời điểm thi kết thúc môn học thuộc học kỳ hè thì
được tính vào học kỳ 2 cùng năm học.","Khoản 5, Điều 14, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
11,Xử lý học vụ,Khi nào bị cảnh báo học vụ,"Điều 16. Xử lý học vụ
1. Cảnh báo học vụ
Sinh viên bị cảnh báo học vụ nếu vi phạm một trong những trường hợp sau đây:
- Không hoàn thành nghĩa vụ học phí đúng quy định.
- Có ĐTBHK dưới 3,0 hoặc điểm trung bình của liên tiếp 2 học kỳ gần nhất đều dưới
4,0.
Thời hạn cảnh báo học vụ kéo dài trong một học kỳ chính tiếp theo. Sinh viên sẽ
được tự động xóa hình thức xử lý khi kết thúc thời hạn.","Khoản 1, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
12,Xử lý học vụ,Khi nào bị đình chỉ học tập,"Điều 16. Xử lý học vụ
2. Đình chỉ học tập
- Sinh viên bị đình chỉ học tập 1 học kỳ chính nếu vi phạm lần đầu trong việc đi thi hộ
hoặc nhờ người thi hộ.
Trang 15/27
- Đình chỉ học tập có thời hạn: áp dụng đối với những sinh viên đang trong thời gian bị
cảnh báo mà vẫn vi phạm kỷ luật hoặc vi phạm nghiêm trọng các hành vi sinh viên
không được làm; sinh viên vi phạm pháp luật bị xử phạt tù nhưng cho hưởng án treo","Khoản 2, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
13,Xử lý học vụ,Khi nào bị buộc thôi học,"Điều 16. Xử lý học vụ
3. Thôi học
a. Sinh viên bị buộc thôi học nếu vi phạm một trong những trường hợp sau đây:
- ĐTBHK hai học kỳ liên tiếp gần nhất bằng 0.
- Đã hết thời hạn được cho phép bảo lưu nhưng không làm thủ tục nhập học lại.
- Đã hết thời gian tối đa hoàn thành khóa học quy định nhưng vẫn chưa hoàn thành
chương trình đào tạo (xem thêm Điều 6 của Quy chế này).
- Sau khi hết thời gian được cho thôi học theo mục b khoản này.
- Bị cảnh báo học vụ lần thứ hai liên tiếp và vẫn tái phạm Khoản 1 Điều 16.
- Bị đình chỉ học tập lần thứ hai.
- Vi phạm kỷ luật có tính chất và mức độ nghiêm trọng, gây ảnh hưởng xấu đến
Trường và xã hội; hoặc vi phạm pháp luật bị xử phạt tù giam.
Sinh viên có tên trong quyết định buộc thôi học bị xóa tên khỏi danh sách sinh viên
chính thức của Trường. Trong vòng một tháng sau khi có quyết định buộc thôi học, Trường
có trách nhiệm thông báo đến sinh viên theo địa chỉ email chính thức Trường đã cấp, đồng
thời thông báo đến gia đình sinh viên theo địa chỉ sinh viên khai báo với Trường.
 Sinh viên thuộc diện buộc thôi học nếu có nguyện vọng chuyển từ hình thức đào tạo
chính quy sang hình thức đào tạo từ xa phải làm đơn để Hiệu trưởng xét cụ thể từng trường
hợp.","Điểm a, Khoản 3, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
14,"Thôi học, tạm dừng học tập",Thời gian tạm dừng học tập là bao lâu,"Điều 17. Thôi học, tạm dừng học tập
3. Thời gian tạm dừng học tập từ một đến tối đa hai học kỳ chính liên tiếp, được tính vào
thời gian tối đa hoàn thành khóa học quy định tại Điều 6 của quy chế này, ngoại trừ
trường hợp được điều động vào lực lượng vũ trang.","Khoản 3, Điều 17, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
15,Học cùng lúc hai chương trình đào tạo,Có thể học cùng lúc hai chương trình đào tạo hay không,"Điều 18.Học cùng lúc hai chương trình đào tạo
2. Sinh viên trình độ đại học văn bằng 1 đang học tại Trường được đăng ký học thêm một
chương trình đào tạo thứ hai nếu thỏa mãn đồng thời các điều kiện sau đây:
a) Ngành đào tạo của chương trình đào tạo thứ hai phải khác ngành đào tạo của chương
trình đào tạo thứ nhất;
b) Không có sự khác biệt trong hình thức đào tạo giữa hai chương trình đào tạo.
c) Đã hoàn thành năm học đầu tiên của chương trình đào tạo thứ nhất, trước học kỳ cuối
của thời gian thiết kế chương trình đào tạo 01 học kỳ. Tại thời điểm đăng ký, sinh viên phải
đáp ứng một trong hai điều kiện sau:
- Học lực tính theo ĐTBCTL xếp loại khá trở lên và đáp ứng ngưỡng bảo đảm chất
lượng của chương trình thứ hai trong năm tuyển sinh (nếu có).
- Học lực tính theo ĐTBCTL xếp loại trung bình và đáp ứng điều kiện trúng tuyển
của chương trình thứ hai trong năm tuyển sinh. ","Khoản 2, Điều 18, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
16,"Điều kiện để chuyển ngành, chuyển chương trình, chuyển trường",Làm sao để chuyển ngành hoặc chuyển trường,"Điều 19. Điều kiện để chuyển ngành, chuyển chương trình, chuyển trường
1. Chuyển ngành/chương trình
Sinh viên được xem xét chuyển ngành/chương trình nếu có đủ các điều kiện sau:
- Sinh viên đạt điều kiện trúng tuyển của ngành/chương trình đào tạo trong cùng
khóa tuyển sinh.
- Không trong thời gian bị kỷ luật từ cảnh báo trở lên.
- Không thuộc năm nhất.
- Đạt số tín chỉ tích lũy tối thiểu quy định tại Khoản 4 Điều 10 và có ĐTBC từ 6,0
trở lên.
- Được sự chấp thuận của Trưởng khoa/Trưởng bộ môn quản lý ngành/chương
trình đào tạo (nơi chuyển đến) và Trưởng khoa/Trưởng bộ môn quản lý
ngành/chương trình đào tạo (nơi chuyển đi).
- Ngành/chương trình chuyển đến có đủ các điều kiện bảo đảm chất lượng, chưa
vượt quá năng lực đào tạo đối với ngành/chương trình đào tạo đó theo quy định
hiện hành của Bộ Giáo dục và Đào tạo.
Ngoài các quy định này, sinh viên chương trình nâng cao, chương trình tiên tiến và
chương trình tài năng thực hiện theo các quy định riêng (nếu có).
2. Chuyển trường
Sinh viên được chuyển trường nếu có đủ các điều kiện sau:
- Không đang là sinh viên trình độ năm thứ nhất hoặc năm cuối khóa, không thuộc
diện bị xử lý học vụ từ cảnh báo trở lên (trường hợp bị kỷ luật vì kết quả học tập có
thể được Hiệu trưởng xem xét, quyết định cho chuyển) và còn đủ thời gian học tập
theo quy định tại Điều 6 của Quy chế này;
- Sinh viên đạt điều kiện trúng tuyển của chương trình, ngành đào tạo cùng khóa tuyển
sinh tại nơi chuyển đến;
- Nơi chuyển đến có đủ các điều kiện bảo đảm chất lượng, chưa vượt quá năng lực đào
tạo đối với chương trình, ngành đào tạo đó theo quy định hiện hành của Bộ Giáo dục
và Đào tạo;
- Được sự đồng ý của Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp
nhận.
Sinh viên xin chuyển trường phải có hồ sơ xin chuyển trường theo mẫu quy định.
Thời gian tối đa được phép học đối với sinh viên chuyển ngành/chương trình đào
tạo/trường là thời gian tối đa hoàn thành khóa học được quy định tại Điều 6 của Quy chế
này.","Khoản 1, 2, Điều 19, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
17,Tổ chức đánh giá môn học,Khi nào không được thi kết thúc học phần,"Điều 20. Tổ chức đánh giá môn học
1. Điều kiện dự thi kết thúc học phần
Sinh viên được dự thi kết thúc học phần khi có mặt từ 80% trở lên số buổi học theo
thời khóa biểu của học phần đó, trừ những sinh viên được Hiệu trưởng cho phép học
chương trình song ngành.
Giảng viên có thể để nghị P.ĐTĐH không cho sinh viên dự thi kết thúc học phần theo
quy định riêng của môn học đã công bố cho sinh viên.","Khoản 1, Điều 20, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
18,Điểm miễn,Khi nào được miễn học phần,"Điều 23. Điểm Miễn
1. Điểm BL
- Sinh viên đã thi đạt yêu cầu một học phần thuộc trình độ đại học ở một CSĐT khác
trong thời gian không quá 5 năm nếu muốn xin miễn học phần đó thì cần phải làm 
Trang 20/27
đơn kèm theo xác nhận (số tiết học, số tín chỉ và điểm) gửi về P. ĐTĐH của Trường
trong vòng 1 tháng sau khi bắt đầu học kỳ. Trường có thể yêu cầu sinh viên cung cấp
đề cương chi tiết của học phần có xác nhận của nơi sinh viên đã học. Nếu được chấp
thuận thì học phần đó được cho điểm mà sinh viên đã đạt và kèm theo chữ bảo lưu
(BL).
2. Điểm M
- Trong trường hợp sinh viên đã đạt được kết quả cho một học phần thuộc trình độ đại
học ở một CSĐT khác mà điểm không xác định cụ thể, sinh viên phải làm đơn kèm
xác nhận về P. ĐTĐH để xem xét. P. ĐTĐH ghi điểm học phần bằng ký hiệu (M) để
phân biệt với loại điểm mà sinh viên tích lũy được bằng cách thi.
- Trong trường hợp sinh viên tham gia các kỳ thi quốc gia, quốc tế do Trường cử đi:
o Đối với các học phần phù hợp chuyên môn của kỳ thi: Ngay sau kỳ thi, đơn vị
lựa chọn sinh viên tham gia kỳ thi gửi đề nghị cho khoa/bộ môn chịu trách
nhiệm quản lý các môn học xét duyệt các học phần mà sinh viên được nhận điểm
M hoặc điểm cụ thể.
o Đối với các học phần không phù hợp chuyên môn của kỳ thi:
▪ Nếu trùng thời gian thi cuối kỳ: sinh viên được nhận điểm I.
▪ Nếu trùng thời gian kiểm tra giữa kỳ: sinh viên được dùng điểm cuối kỳ
thay thế điểm giữa kỳ.
3. Nếu không muốn nhận điểm M hoặc muốn nhận điểm cao hơn điểm được cho theo
Khoản 2 Điều 24 này, sinh viên phải đăng ký học và dự thi học phần đó.","Khoản 1, 2, 3, Điều 23, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
19,Cấp bảng điểm,Làm sao để đăng ký cấp bảng điểm,"Điều 27. Cấp bảng điểm
1. Trong quá trình học tập, sinh viên có thể đề nghị Trường cấp bảng điểm. Sinh viên thực
hiện theo hướng dẫn của P.ĐTĐH.
2. Sau khi tốt nghiệp, sinh viên được cấp một bảng điểm kèm theo bằng tốt nghiệp.","Khoản 1, 2, Điều 27, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
20,"Thực tập, khoá luận tốt nghiệp và chuyên đề tốt nghiệp",Khi nào được đăng ký Thực tập doanh nghiệp,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào
tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn
của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp
cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết
quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào
tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì
xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký
học lại vào các học kỳ tiếp theo.","Khoản 1, Điều 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
21,"Thực tập, khoá luận tốt nghiệp và chuyên đề tốt nghiệp",Điều kiện làm Khoá luận tốt nghiệp là gì,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
3. Làm khóa luận tốt nghiệp
- Vào đầu mỗi học kỳ chính, sinh viên đủ điều kiện quy định có thể đăng ký làm khóa
luận tốt nghiệp theo quy trình đăng ký học phần.
- Sinh viên chương trình tiên tiến và chương trình tài năng bắt buộc phải làm khóa luận
tốt nghiệp.
- Sinh viên chương trình chuẩn được làm khóa luận tốt nghiệp khi thỏa các yêu cầu
sau:
▪ Không được phép nợ quá 8 tín chỉ theo chương trình đào tạo.
▪ Có ĐTBC tính đến thời điểm xét làm khóa luận tốt nghiệp tối thiểu 6,5 hoặc
cao hơn theo yêu cầu cụ thể của khoa/bộ môn quản lý ngành đào tạo.
▪ Trường hợp đặc biệt do Hiệu trưởng quyết định.
- Sinh viên đủ điều kiện làm khóa luận được khoa/bộ môn quản lý ngành đào tạo giao
đề tài khóa luận tốt nghiệp. Căn cứ đề nghị của Trưởng khoa/Trưởng bộ môn quản lý
ngành đào tạo và Trưởng P.ĐTĐH, Hiệu trưởng ra quyết định giao nhiệm vụ hướng
dẫn khóa luận tốt nghiệp.
- Sinh viên thực hiện khóa luận tốt nghiệp trong thời gian là một học kỳ chính.
- Sinh viên chỉ được bảo vệ khóa luận khi đã hoàn thành khóa luận và được sự đồng ý
bằng văn bản của cán bộ hướng dẫn.
- Hằng năm có 2 đợt bảo vệ khóa luận tốt nghiệp được xác định cụ thể trên kế hoạch
đào tạo của Trường. Nếu hết thời gian thực hiện khóa luận theo quy định mà sinh
viên không ra bảo vệ hoặc không được cán bộ hướng dẫn đồng ý cho ra bảo vệ vào
đúng đợt chính thức xem như không đạt học phần này, điểm được ghi là không (0).","Khoản 3, Điều 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
22,Giáo trình và phân loại giáo trình,Các loại giáo trình?,"Điều 3. Giáo trình và phân loại giáo trình
Giáo trình bao gồm sách chuyên khảo, sách giáo trình và tài liệu học tập
1. Sách chuyên khảo (SCK): là công trình khoa học trình bày kết quả nghiên cứu chuyên sâu và tương đối toàn diện về một vấn đề khoa học chuyên ngành.
2. Sách giáo trình (GT): là tài liệu giảng dạy, học tập có nội dung phù hợp với chương trình đào tạo và được Hiệu trưởng phê duyệt, lựa chọn.
3. Giáo trình dịch: là giáo trình được chuyển ngữ từ tài liệu của ngôn ngữ khác sang tiếng Việt. Giáo trình được sử dụng để dịch là các sách của nước ngoài, có nội dung phù hợp với môn học trong chương trình đào 
đang giảng dạy. Giáo trình được dịch không bao gồm sách hướng dẫn phục vụ cho việc giảng dạy và học tập của giảng viên, sinh viên.
4. Tài liệu học tập (TLHT): là sách được xuất bản, sử dụng trong quá trình dạy và học một số nội dung của một hoặc một số học phần trong CTĐT.","Điều 3, QUY CHẾ CÔNG TÁC GIÁO TRÌNH"
23,Giáo trình và phân loại giáo trình,Tài liệu học tập bao gồm những gì?,"Điều 3. Giáo trình và phân loại giáo trình
Tài liệu học tập (TLHT): là sách được xuất bản, sử dụng trong quá trình dạy và học một số nội dung của một hoặc một số học phần trong CTĐT. Tài liệu học tập bao gồm:
a) Sách tham khảo: là sách có nội dung phù hợp với học phần được dùng làm sách tham khảo cho giảng viên và người học.
b) Sách hướng dẫn: là tài liệu được biên soạn để hướng dẫn thí nghiệm, thực tập, báo cáo chuyên đề, bài tập, đồ án học phần, niên luận, thực tập giáo trình, thực tập trong cơ sở sản xuất.","Khoản 4, Điều 3, QUY CHẾ CÔNG TÁC GIÁO TRÌNH"
24,Điều kiện biên soạn và tái bản giáo trình,Khi nào thì trường được phép biên soạn giáo trình?,"Điều 6. Điều kiện biên soạn và tái bản giáo trình
1. Điều kiện biên soạn giáo trình
- Các loại giáo trình được biên soạn cần đảm bảo các điều kiện: phải phù hợp với môn học, nằm trong chương trình đào tạo của ĐHCNTT, được Hiệu trưởng phê duyệt.
- Người biên soạn phải đáp ứng theo quy định tại khoản 1 Điều 8, phải đăng ký biên soạn giáo trình với Khoa/Bộ môn và phải được Trưởng Ban Điều hành GT ĐHCNTT ký hợp đồng.","Khoản 1, Điều 6, QUY CHẾ CÔNG TÁC GIÁO TRÌNH"
25,Điều kiện biên soạn và tái bản giáo trình,Khi nào thì trường được phép tái bản giáo trình?,"Điều 6. Điều kiện biên soạn và tái bản giáo trình
2. Điều kiện tái bản giáo trình
ĐHQG-HCM khuyến khích tái bản giáo trình. Giáo trình được tái bản là giáo trình đã được phê duyệt, xuất bản, nộp lưu chiểu và phải đáp ứng một trong các điều kiện sau dây:
- Giáo trình cần cho chương trình đào tạo đã sử dụng hết.
- Giáo trình đã lưu hành trong thời gian tối thiểu 4 năm, nay cần sửa chữa, cập nhật. - Giáo trình có nội dung thay đổi cập nhật tối thiểu 10% so với lần xuất bản trước.","Khoản 2, Điều 6, QUY CHẾ CÔNG TÁC GIÁO TRÌNH"
26,Điều kiện biên soạn và tái bản giáo trình,Khi nào thì trường được phép biên dịch giáo trình?,"Điều 6. Điều kiện biên soạn và tái bản giáo trình
3. Điều kiện biên dịch giáo trình
Là những giáo trình có thể sử dụng chung trong các đơn vị, chưa xuất bản lần nào và đáp ứng cho môn học cơ sở ngành hoặc chuyên ngành. Trưởng Ban điều hành GT có thẩm quyền lựa chọn những tựa giáo trình dịch hay, 
phù hợp với nội dung môn học đang được giảng dạy tại ĐHCNTT làm sách chuyên khảo, giáo trình, tài liệu học tập.
","Khoản 3, Điều 6, QUY CHẾ CÔNG TÁC GIÁO TRÌNH"
27,"Quy định chung về nội dung văn bằng, chứng chỉ","Nội dung được ghi trong văn bằng, chứng chỉ bao gồm? ","Điều 6: Quy định chung về nội dung văn bằng, chứng chỉ
1. Tiêu đề
2. Tên của trường
3. Tên văn bằng, chứng chỉ được quy định như sau:
a) Văn bằng:
- Bằng đại học; Bằng tốt nghiệp đại học ngành kỹ thuật được gọi là bằng kỹ sư; của các ngành khoa học
cơ bản được gọi là bằng cử nhân;
- Bằng thạc sĩ;
- Bằng tiến sĩ.
b) Chứng chỉ:
- Chứng chỉ thực hành: chứng chỉ ngoại ngữ; chứng chỉ ứng dụng công nghệ thông tin.
- Chứng chỉ các môn học, bồi dưỡng; chứng chỉ kỹ thuật viên và các loại chứng chỉ
khác có giá trị tương ứng được Giám đốc ĐHQG-HCM giao nhiệm vụ đào tạo.
4. Ngành đào tạo (đối với văn bằng), chương trình đào tạo, bồi dưỡng nếu có (đối với
chứng chỉ).
5. Họ, chữ đệm, tên; ngày tháng năm sinh của người được cấp văn bằng, chứng chỉ.
6. Hạng tốt nghiệp/xếp loại tốt nghiệp.
7. Số hiệu và số vào sổ gốc cấp văn bằng, chứng chỉ.5
8. Địa danh: Thành phố Hồ Chí Minh; ngày tháng năm cấp văn bằng, chứng chỉ.
9. Chức danh, chữ ký, họ, chữ đệm, tên của người có thẩm quyền cấp văn bằng, chứng
chỉ và đóng dấu theo quy định.
10. Biểu tượng, hoa văn:
a) Đối với văn bằng: Biểu tượng là biểu tượng của ĐHQG-HCM, của Trường; hoa văn
in trên văn bằng là biểu tượng của ĐHQG-HCM.
b) Đối với chứng chỉ do ĐHQG-HCM in phôi: Biểu tượng là biểu tượng của ĐHQGHCM; hoa văn in trên chứng chỉ là biểu tượng của ĐHQG-HCM.
c) Đối với chứng chỉ do Trường in phôi: Biểu tượng là biểu tượng của Trường; hoa văn
in trên văn bằng là biểu tượng của Trường","Khoảng 2, Điều 6, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
28,"Ngôn ngữ ghi trên văn bằng, chứng chỉ","Ngôn ngữ được ghi trên các văn bằng, chứng chỉ ?","Điều 8. Ngôn ngữ ghi trên văn bằng, chứng chỉ
Ngôn ngữ chính ghi trên văn bằng, chứng chỉ là tiếng Việt. Đối với các văn bằng, chứng chỉ có ghi thêm tiếng nước ngoài, thì tiếng nước ngoài phải được ghi chính xác và phù hợp
với nội dung tiếng Việt, kích cỡ chữ nước ngoài không lớn hơn kích cỡ chữ tiếng Việt.","Khoảng 2, Điều 8, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ
 CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
29,"Thẩm quyền cấp văn bằng, chứng chỉ","Ai có thẩm quyền cấp văn bằng, chứng chỉ?","Điều 12. Thẩm quyền cấp văn bằng, chứng chỉ
1. Thẩm quyền cấp văn bằng: Bằng tốt nghiệp đại học, bằng thạc sĩ, bằng tiến sĩ do Hiệu trưởng Trường cấp.
2. Thẩm quyền cấp chứng chỉ: Hiệu trưởng Trường cấp hoặc ủy quyền cho thủ trưởng đơn vị trực thuộc cấp theo quy định.","Khoảng 4, Điều 12, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
30,Điều kiện cấp văn bằng chứng chỉ,"Khi nào sinh viên được cấp văn bằng, chứng chỉ?","Điều 13. Điều kiện cấp văn bằng, chứng chỉ
Người học được cấp văn bằng, chứng chỉ khi đảm bảo các điều kiện sau:
1. Văn bằng được cấp sau khi người học hoàn thành chương trình giáo dục, chương trình đào tạo theo cấp học, trình độ đào tạo và đạt các điều kiện khác theo quy định của quy
chế đào tạo đại học, thạc sĩ, tiến sĩ.
2. Chứng chỉ:
a) Được cấp sau khi người học hoàn thành chương trình đào tạo hoặc bồi dưỡng nâng cao trình độ học vấn, nghề nghiệp theo chương trình do Bộ GD&ĐT quy định hoặc ban hành.
b) Được cấp cho cá nhân có nhu cầu được đánh giá năng lực sử dụng CNTT hoặc có nhu cầu được cấp chứng chỉ ứng dụng CNTT theo quy định của Bộ GD&ĐT.
3. Không đang trong thời gian bị truy cứu trách nhiệm hình sự.","Khoảng 4, Điều 13, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ
 CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
31,"Cấp lại văn bằng, chứng chỉ",Cấp lại văn bằng chứng chỉ mất bao lâu?,"Điều 15. Cấp lại văn bằng, chứng chỉ
Trong thời hạn 05 (năm) ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, cơ quan có thẩm quyền cấp lại văn bằng, chứng chỉ xem xét quyết định việc cấp lại văn bằng, chứng chỉ;
nếu không cấp lại thì phải trả lời bằng văn bản và nêu rõ lý do.","Khoảng 4, Điều 15, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
32,"Cấp lại văn bằng, chứng chỉ","Trường hợp nào thì được cấp lại văn bằng, chứng chỉ?","Điều 15. Cấp lại văn bằng, chứng chỉ
Trường hợp văn bằng, chứng chỉ đã cấp nhưng phát hiện bị in sai do lỗi của Trường thì Trường có trách nhiệm cấp lại bản chính văn bằng, chứng chỉ.
","Khoảng 4, Điều 15, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ 
CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
